square_id,activity_date,activity_hour,total_activity
,,,
1,01-11-13,0,2.318358649
1,01-11-13,1,0.879857571
1,01-11-13,2,2.075716095
1,01-11-13,3,0.897143943
1,01-11-13,4,0.574361524
1,01-11-13,5,0.705587416
1,01-11-13,6,1.861570983
1,01-11-13,7,7.539213642
1,01-11-13,8,12.60829115
1,01-11-13,9,19.02482954
1,01-11-13,10,17.88561801
1,01-11-13,11,16.41133319
1,01-11-13,12,13.88045977
1,01-11-13,13,13.19443685
1,01-11-13,14,11.66179146
1,01-11-13,15,13.6087412
1,01-11-13,16,13.53729541
1,01-11-13,17,15.49488259
1,01-11-13,18,12.64046902
1,01-11-13,19,11.9204343
1,01-11-13,20,9.427280749
1,01-11-13,21,6.74978323
1,01-11-13,22,4.842559627
,,,
2,01-11-13,0,2.337760495
2,01-11-13,1,0.883385634
2,01-11-13,2,2.081841414
2,01-11-13,3,0.908143493
2,01-11-13,4,0.584335183
2,01-11-13,5,0.720082502
2,01-11-13,6,1.881358164
2,01-11-13,7,7.604382725
2,01-11-13,8,12.74914344
2,01-11-13,9,19.3508376
2,01-11-13,10,18.14162279
2,01-11-13,11,16.65229741
2,01-11-13,12,14.06825532
2,01-11-13,13,13.38732932
2,01-11-13,14,11.88024112
2,01-11-13,15,13.81372417
2,01-11-13,16,13.70171316
2,01-11-13,17,15.77166541
2,01-11-13,18,12.87533794
2,01-11-13,19,12.14244456
2,01-11-13,20,9.599712963
2,01-11-13,21,6.876035348
2,01-11-13,22,4.974294005
,,,
3,01-11-13,0,2.358412992
3,01-11-13,1,0.887141118
3,01-11-13,2,2.088361573
3,01-11-13,3,0.91985208
3,01-11-13,4,0.594951749
3,01-11-13,5,0.735511946
3,01-11-13,6,1.902420834
3,01-11-13,7,7.673752635
3,01-11-13,8,12.89907514
3,01-11-13,9,19.69786027
3,01-11-13,10,18.41412974
3,01-11-13,11,16.90879428
3,01-11-13,12,14.26815626
3,01-11-13,13,13.59265574
3,01-11-13,14,12.11277215
3,01-11-13,15,14.03192044
