"square_id","activity_date","activity_hour","total_activity"
"1",2013-11-16,"23",3.87932006604913
"1",2013-11-17,"00",3.24201955059836
"1",2013-11-17,"01",2.19862970668249
"1",2013-11-17,"02",1.7730849004008
"1",2013-11-17,"03",0.575806840391309
"1",2013-11-17,"04",0.194224601603303
"1",2013-11-17,"05",0.5884410500488
"1",2013-11-17,"06",1.49040815235004
"1",2013-11-17,"07",6.19276645372637
"1",2013-11-17,"08",11.5218841663253
"1",2013-11-17,"09",13.8835657499119
"1",2013-11-17,"10",13.797550963949
"1",2013-11-17,"11",14.5285063190794
"1",2013-11-17,"12",13.5769609086136
"1",2013-11-17,"13",12.5581401334267
"1",2013-11-17,"14",12.2128582314766
"1",2013-11-17,"15",13.5002386878938
"1",2013-11-17,"16",15.1513970744273
"1",2013-11-17,"17",17.885532514972
"1",2013-11-17,"18",13.8211433524173
"1",2013-11-17,"19",13.9455773615338
"1",2013-11-17,"20",12.29470898352
"1",2013-11-17,"21",7.18237507263028
"1",2013-11-17,"22",4.51656901972692
"2",2013-11-16,"23",3.92729421941077
"2",2013-11-17,"00",3.29781799737062
"2",2013-11-17,"01",2.2139580154236
"2",2013-11-17,"02",1.78164733469922
"2",2013-11-17,"03",0.57721806568187
"2",2013-11-17,"04",0.195988633216504
"2",2013-11-17,"05",0.602197994459291
"2",2013-11-17,"06",1.51413875634951
"2",2013-11-17,"07",6.27091930962252
"2",2013-11-17,"08",11.6852760306404
"2",2013-11-17,"09",14.0552022726178
"2",2013-11-17,"10",13.9724903543563
"2",2013-11-17,"11",14.7018418169134
"2",2013-11-17,"12",13.8513041059681
"2",2013-11-17,"13",12.7833882041391
"2",2013-11-17,"14",12.4374957720987
"2",2013-11-17,"15",13.7385380903713
"2",2013-11-17,"16",15.3350265099305
"2",2013-11-17,"17",18.1396131194134
"2",2013-11-17,"18",14.0104477151528
"2",2013-11-17,"19",14.1684859009577
"2",2013-11-17,"20",12.4126288669745
"2",2013-11-17,"21",7.23144517754731
"2",2013-11-17,"22",4.58295165617838
"3",2013-11-16,"23",3.97836080781997
"3",2013-11-17,"00",3.35721323658854
"3",2013-11-17,"01",2.23027439369486
"3",2013-11-17,"02",1.79076170728234
"3",2013-11-17,"03",0.578720259175989
"3",2013-11-17,"04",0.197866375084153
"3",2013-11-17,"05",0.616841717563335
"3",2013-11-17,"06",1.5393990455308
"3",2013-11-17,"07",6.35410993301857
"3",2013-11-17,"08",11.8592002064668
"3",2013-11-17,"09",14.2379025611448
"3",2013-11-17,"10",14.1587064148908
"3",2013-11-17,"11",14.8863505972534
"3",2013-11-17,"12",14.1433315866107
"3",2013-11-17,"13",13.0231558646609
"3",2013-11-17,"14",12.6766135474919
"3",2013-11-17,"15",13.9921983772501
"3",2013-11-17,"16",15.5304927796939
"3",2013-11-17,"17",18.4100718714826
"3",2013-11-17,"18",14.2119547204564
"3",2013-11-17,"19",14.4057632229742
"3",2013-11-17,"20",12.5381499180338
"3",2013-11-17,"21",7.28367836303168
"3",2013-11-17,"22",4.6536133466022
"4",2013-11-16,"23",3.7403620661402
"4",2013-11-17,"00",3.08039834379872
"4",2013-11-17,"01",2.15423098413295
"4",2013-11-17,"02",1.7482836551242
"4",2013-11-17,"03",0.571719200900956
"4",2013-11-17,"04",0.189115052240362
"4",2013-11-17,"05",0.548593812605548
"4",2013-11-17,"06",1.42167203013984
"4",2013-11-17,"07",5.96639529797847
"4",2013-11-17,"08",11.0486166863247
"4",2013-11-17,"09",13.3864174682789
"4",2013-11-17,"10",13.2908358664875
"4",2013-11-17,"11",14.0264369253648
"4",2013-11-17,"12",12.7823208926528
"4",2013-11-17,"13",11.9057050366864
"4",2013-11-17,"14",11.562191546147
"4",2013-11-17,"15",12.8100001734554
"4",2013-11-17,"16",14.619511104714
"4",2013-11-17,"17",17.1495834646017
"4",2013-11-17,"18",13.2728198536895
"4",2013-11-17,"19",13.2999187593388
"4",2013-11-17,"20",11.9531519156795
"4",2013-11-17,"21",7.04024262928748
"4",2013-11-17,"22",4.32429051674963
"5",2013-11-16,"23",3.40891696164109
"5",2013-11-17,"00",2.84838931093565
"5",2013-11-17,"01",1.90189045909294
"5",2013-11-17,"02",1.54886704977908
"5",2013-11-17,"03",0.508720274486524
"5",2013-11-17,"04",0.186562700969434
"5",2013-11-17,"05",0.514222255631144
"5",2013-11-17,"06",1.32412800673352
"5",2013-11-17,"07",5.55033682824411
"5",2013-11-17,"08",10.3201150640224
"5",2013-11-17,"09",12.5198822944997
"5",2013-11-17,"10",12.4431500738742
"5",2013-11-17,"11",13.0409167619068
"5",2013-11-17,"12",11.9908571203459
"5",2013-11-17,"13",11.1273928700618
"5",2013-11-17,"14",10.7710148362983
"5",2013-11-17,"15",11.9250966663447
"5",2013-11-17,"16",13.6345605763609
"5",2013-11-17,"17",15.9355277969758
"5",2013-11-17,"18",12.3797594345552
"5",2013-11-17,"19",12.3643452174517
"5",2013-11-17,"20",10.9541897616622
"5",2013-11-17,"21",6.54593763504947
"5",2013-11-17,"22",4.01727844560556
"6",2013-11-16,"23",3.97836080781997
"6",2013-11-17,"00",3.35721323658854
"6",2013-11-17,"01",2.23027439369486
"6",2013-11-17,"02",1.79076170728234
"6",2013-11-17,"03",0.578720259175989
"6",2013-11-17,"04",0.197866375084153
"6",2013-11-17,"05",0.616841717563335
"6",2013-11-17,"06",1.5393990455308
"6",2013-11-17,"07",6.35410993301857
"6",2013-11-17,"08",11.8592002064668
"6",2013-11-17,"09",14.2379025611448
"6",2013-11-17,"10",14.1587064148908
"6",2013-11-17,"11",14.8863505972534
"6",2013-11-17,"12",14.1433315866107
"6",2013-11-17,"13",13.0231558646609
"6",2013-11-17,"14",12.6766135474919
"6",2013-11-17,"15",13.9921983772501
"6",2013-11-17,"16",15.5304927796939
"6",2013-11-17,"17",18.4100718714826
"6",2013-11-17,"18",14.2119547204564
"6",2013-11-17,"19",14.4057632229742
"6",2013-11-17,"20",12.5381499180338
"6",2013-11-17,"21",7.28367836303168
"6",2013-11-17,"22",4.6536133466022
"7",2013-11-16,"23",3.97836080781997
"7",2013-11-17,"00",3.35721323658854
"7",2013-11-17,"01",2.23027439369486
"7",2013-11-17,"02",1.79076170728234
"7",2013-11-17,"03",0.578720259175989
"7",2013-11-17,"04",0.197866375084153
"7",2013-11-17,"05",0.616841717563335
"7",2013-11-17,"06",1.5393990455308
"7",2013-11-17,"07",6.35410993301857
"7",2013-11-17,"08",11.8592002064668
"7",2013-11-17,"09",14.2379025611448
"7",2013-11-17,"10",14.1587064148908
"7",2013-11-17,"11",14.8863505972534
"7",2013-11-17,"12",14.1433315866107
"7",2013-11-17,"13",13.0231558646609
"7",2013-11-17,"14",12.6766135474919
"7",2013-11-17,"15",13.9921983772501
"7",2013-11-17,"16",15.5304927796939
"7",2013-11-17,"17",18.4100718714826
"7",2013-11-17,"18",14.2119547204564
"7",2013-11-17,"19",14.4057632229742
"7",2013-11-17,"20",12.5381499180338
"7",2013-11-17,"21",7.28367836303168
"7",2013-11-17,"22",4.6536133466022
"8",2013-11-16,"23",3.97836080781997
"8",2013-11-17,"00",3.35721323658854
"8",2013-11-17,"01",2.23027439369486
"8",2013-11-17,"02",1.79076170728234
"8",2013-11-17,"03",0.578720259175989
"8",2013-11-17,"04",0.197866375084153
"8",2013-11-17,"05",0.616841717563335
"8",2013-11-17,"06",1.5393990455308
"8",2013-11-17,"07",6.35410993301857
"8",2013-11-17,"08",11.8592002064668
"8",2013-11-17,"09",14.2379025611448
"8",2013-11-17,"10",14.1587064148908
"8",2013-11-17,"11",14.8863505972534
"8",2013-11-17,"12",14.1433315866107
"8",2013-11-17,"13",13.0231558646609
"8",2013-11-17,"14",12.6766135474919
"8",2013-11-17,"15",13.9921983772501
"8",2013-11-17,"16",15.5304927796939
"8",2013-11-17,"17",18.4100718714826
"8",2013-11-17,"18",14.2119547204564
"8",2013-11-17,"19",14.4057632229742
"8",2013-11-17,"20",12.5381499180338
"8",2013-11-17,"21",7.28367836303168
"8",2013-11-17,"22",4.6536133466022
"9",2013-11-16,"23",3.97836080781997
"9",2013-11-17,"00",3.35721323658854
"9",2013-11-17,"01",2.23027439369486
"9",2013-11-17,"02",1.79076170728234
"9",2013-11-17,"03",0.578720259175989
"9",2013-11-17,"04",0.197866375084153
"9",2013-11-17,"05",0.616841717563335
"9",2013-11-17,"06",1.5393990455308
"9",2013-11-17,"07",6.35410993301857
"9",2013-11-17,"08",11.8592002064668
"9",2013-11-17,"09",14.2379025611448
"9",2013-11-17,"10",14.1587064148908
"9",2013-11-17,"11",14.8863505972534
"9",2013-11-17,"12",14.1433315866107
"9",2013-11-17,"13",13.0231558646609
"9",2013-11-17,"14",12.6766135474919
"9",2013-11-17,"15",13.9921983772501
"9",2013-11-17,"16",15.5304927796939
"9",2013-11-17,"17",18.4100718714826
"9",2013-11-17,"18",14.2119547204564
"9",2013-11-17,"19",14.4057632229742
"9",2013-11-17,"20",12.5381499180338
"9",2013-11-17,"21",7.28367836303168
"9",2013-11-17,"22",4.6536133466022
"10",2013-11-16,"23",2.58423690741188
"10",2013-11-17,"00",2.45675634456869
"10",2013-11-17,"01",1.0969263478721
"10",2013-11-17,"02",0.883058571775148
"10",2013-11-17,"03",0.287570196843494
"10",2013-11-17,"04",0.191864885079185
"10",2013-11-17,"05",0.502079892024283
"10",2013-11-17,"06",1.16173861616399
"10",2013-11-17,"07",4.66495722951546
"10",2013-11-17,"08",8.9916882821037
"10",2013-11-17,"09",10.7499588228444
"10",2013-11-17,"10",10.770520777117
"10",2013-11-17,"11",10.8452361885528
"10",2013-11-17,"12",11.3566952969992
"10",2013-11-17,"13",10.1316379802779
"10",2013-11-17,"14",9.72259125609441
"10",2013-11-17,"15",10.644267177991
"10",2013-11-17,"16",11.5269988222279
"10",2013-11-17,"17",13.5695034247712
"10",2013-11-17,"18",10.6593838258991
"10",2013-11-17,"19",10.7675599571427
"10",2013-11-17,"20",8.24577312779303
"10",2013-11-17,"21",5.128232113885
"10",2013-11-17,"22",3.43675567874761
"11",2013-11-16,"23",1.53611781230648
"11",2013-11-17,"00",1.59373849295414
"11",2013-11-17,"01",0.405293978796928
"11",2013-11-17,"02",0.337331033069
"11",2013-11-17,"03",0.164784341003745
"11",2013-11-17,"04",0.246396384034246
"11",2013-11-17,"05",0.418162948628131
"11",2013-11-17,"06",0.808290584360039
"11",2013-11-17,"07",2.68728022583627
"11",2013-11-17,"08",5.36086834518968
"11",2013-11-17,"09",6.50942823569548
"11",2013-11-17,"10",6.62357411964171
"11",2013-11-17,"11",6.32883665178377
"11",2013-11-17,"12",7.07646186388373
"11",2013-11-17,"13",6.48944801473325
"11",2013-11-17,"14",5.99698079663
"11",2013-11-17,"15",6.35759888288353
"11",2013-11-17,"16",6.69392454249215
"11",2013-11-17,"17",7.85952638088342
"11",2013-11-17,"18",6.35143979594506
"11",2013-11-17,"19",6.39688561587229
"11",2013-11-17,"20",4.32369830236206
"11",2013-11-17,"21",2.91842424844491
"11",2013-11-17,"22",2.02314266158727
"12",2013-11-16,"23",1.18905990554684
"12",2013-11-17,"00",1.05131359144391
"12",2013-11-17,"01",0.48331356361825
"12",2013-11-17,"02",0.319274722998944
"12",2013-11-17,"03",0.244236066462823
"12",2013-11-17,"04",0.315977441096732
"12",2013-11-17,"05",0.34063943903535
"12",2013-11-17,"06",0.745197507691806
"12",2013-11-17,"07",1.6116434472061
"12",2013-11-17,"08",3.12954769754507
"12",2013-11-17,"09",4.05339015236944
"12",2013-11-17,"10",4.51633068594754
"12",2013-11-17,"11",3.56210700717375
"12",2013-11-17,"12",3.33818299402707
"12",2013-11-17,"13",3.86636753990537
"12",2013-11-17,"14",3.44018350802307
"12",2013-11-17,"15",4.02087492105602
"12",2013-11-17,"16",4.30079007451707
"12",2013-11-17,"17",4.31479929958022
"12",2013-11-17,"18",3.75204930614798
"12",2013-11-17,"19",3.73581267105696
"12",2013-11-17,"20",2.78016627699406
"12",2013-11-17,"21",1.62705817840427
"12",2013-11-17,"22",1.15737805089564
"13",2013-11-16,"23",0.80017929229536
"13",2013-11-17,"00",0.700925592412702
"13",2013-11-17,"01",0.278171854412296
"13",2013-11-17,"02",0.234257618594861
"13",2013-11-17,"03",0.182051833998554
"13",2013-11-17,"04",0.230971256988814
"13",2013-11-17,"05",0.250493330813961
"13",2013-11-17,"06",0.403139644037824
"13",2013-11-17,"07",0.733003329237396
"13",2013-11-17,"08",1.45461712190916
"13",2013-11-17,"09",1.9840240240848
"13",2013-11-17,"10",2.15326692864313
"13",2013-11-17,"11",1.91391157646772
"13",2013-11-17,"12",1.73914473811891
"13",2013-11-17,"13",2.22066708180897
"13",2013-11-17,"14",1.82137796664664
"13",2013-11-17,"15",1.78070089872011
"13",2013-11-17,"16",1.76142900032812
"13",2013-11-17,"17",2.09967778402325
"13",2013-11-17,"18",1.88365354473575
"13",2013-11-17,"19",1.88977759106049
"13",2013-11-17,"20",1.50893205893555
"13",2013-11-17,"21",0.921093791663922
"13",2013-11-17,"22",0.631637796222878
"14",2013-11-16,"23",1.07073261199123
"14",2013-11-17,"00",0.958024208773129
"14",2013-11-17,"01",0.327131160902208
"14",2013-11-17,"02",0.285128213641671
"14",2013-11-17,"03",0.236804848863777
"14",2013-11-17,"04",0.296250646215944
"14",2013-11-17,"05",0.340877602544158
"14",2013-11-17,"06",0.51899143418152
"14",2013-11-17,"07",1.00139837249421
"14",2013-11-17,"08",1.96831499844942
"14",2013-11-17,"09",2.75849785143676
"14",2013-11-17,"10",2.95881338102866
"14",2013-11-17,"11",2.67845397521867
"14",2013-11-17,"12",2.64128625024028
"14",2013-11-17,"13",3.15290366970015
"14",2013-11-17,"14",2.52748220038372
"14",2013-11-17,"15",2.40987660551176
"14",2013-11-17,"16",2.54730669694618
"14",2013-11-17,"17",3.06447095161994
"14",2013-11-17,"18",2.56138956002209
"14",2013-11-17,"19",2.62252419309105
"14",2013-11-17,"20",2.0351093277471
"14",2013-11-17,"21",1.29875462531739
"14",2013-11-17,"22",0.875526756743717
"15",2013-11-16,"23",1.15863067487786
"15",2013-11-17,"00",1.03061031322129
"15",2013-11-17,"01",0.373771263201004
"15",2013-11-17,"02",0.326164556157427
"15",2013-11-17,"03",0.25089581242879
"15",2013-11-17,"04",0.346109226515944
"15",2013-11-17,"05",0.39114347811734
"15",2013-11-17,"06",0.58671521717601
"15",2013-11-17,"07",1.0151755805682
"15",2013-11-17,"08",2.0528682869371
"15",2013-11-17,"09",2.7875485361282
"15",2013-11-17,"10",2.96060314938618
"15",2013-11-17,"11",2.69748003292541
"15",2013-11-17,"12",2.57139715353209
"15",2013-11-17,"13",3.18640938057209
"15",2013-11-17,"14",2.61449392287023
"15",2013-11-17,"15",2.4137772729272
"15",2013-11-17,"16",2.48069367715036
"15",2013-11-17,"17",2.99471260603992
"15",2013-11-17,"18",2.57974949303756
